,Date,User,Tweet
18,2022-05-13 23:08:34+00:00,ItsBriittaniiee,Ugh that 2nd blocking was ghetto. I’m taking a break to go cry 😭 #TheCircle
19,2022-05-13 23:07:39+00:00,EchoDoesRadio,These plot twists are reaalll mess this season! #TheCircle
20,2022-05-13 23:06:50+00:00,simply_cerulean,"I think that #TheCircle needs to add incentives to catch catfish or even for catfish getting to the end.

Like maybe every catfish that makes it to the end gets 25k regardless of whether they win or not. Or if no catfish gets to the end then the winner gets 50k extra. Idk."
21,2022-05-13 23:06:32+00:00,eljpgplus,Everyone on #thecircle could use some lessons in reading comprehension.
22,2022-05-13 23:06:14+00:00,EchoDoesRadio,I love Frank so much!! #TheCircle
23,2022-05-13 23:04:03+00:00,HealthyRis,I just know Yu Ling is going to let Alyssa bully her into letting Frank or Crissa go home. I’m irritated #TheCircle
24,2022-05-13 22:54:02+00:00,_r_ai__,"Yu Ling is starting to rub me off the wrong way  #TheCircle

Trying too hard and being fake"
25,2022-05-13 22:52:31+00:00,EchoDoesRadio,Why are so many of the apartments are pink this season? #TheCircle
26,2022-05-13 22:49:54+00:00,excellenteczema,frank better win #thecircle because he’s been nothing but his genuine and loving self and he’s been playing a SMART GAME https://t.co/di1TphFn06
27,2022-05-13 22:41:03+00:00,DMJazzyHands,"Come through, anonmynmnity. #TheCircle"
28,2022-05-13 22:38:32+00:00,quietconqueror,Ok but there's really no one I dislike so far #thecircle
29,2022-05-13 22:37:05+00:00,HadiaJaxT,Yu Ling 🚮 #TheCircle
30,2022-05-13 22:32:23+00:00,Viv_ienne___,#TheCircleNetflix if  alyssa wins seems like TL will be collectively underwhelmed and disappointed. I guess shes not that likeable?? #thecircle
31,2022-05-13 22:18:54+00:00,vaingirI,Yu Ling supremacy #TheCircle
32,2022-05-13 22:09:09+00:00,realityalert_,"We're about to go LIVE on YouTube and Twitch to discuss Season 4 Episode 8 of @CircleNetflix! Join us!

YT: https://t.co/kCETOvdJKa
Twitch: https://t.co/F6qgCMTFpG

#TheCircle #TheCircleNetflix #Netflix #TheCircleUS #Circle #CircleNetflix #Reality #realityseries https://t.co/8qPR3RRX0c"
33,2022-05-13 22:08:03+00:00,connorreda,"“Oh my god is this like a CHAIN?!?!?” 

We all know Alex said safety chain. Netflix clearly edited it out. This is my conspiracy #TheCircle"
34,2022-05-13 22:05:41+00:00,ScrawnyRhino,I hope Bru chooses John/Carol because we need some karma after Crissas blocking #TheCircle #TheCircleNetflix
35,2022-05-13 22:04:17+00:00,AdoreMy_Essence,Wowww! Nathan got that eagle question right! I don’t even know what a par is 😂😂 #TheCircleNetflix #THECIRCLE
36,2022-05-13 22:02:03+00:00,ScrawnyRhino,Yu Ling choosing Rachel over Alyssa. I know that’s right! #TheCircle #TheCircleNetflix https://t.co/QZSvNTN9Jd
37,2022-05-13 22:01:42+00:00,AdoreMy_Essence,YESS BRU! That golf question was PERFECT! #TheCircleNetflix #thecircle
38,2022-05-13 22:00:06+00:00,ScrawnyRhino,Omg a safety chain! #theCircle #TheCircleNetflix https://t.co/rP9GOuHCyt
39,2022-05-13 21:56:39+00:00,quietconqueror,Baby and Scary Spice are so funny but they're getting  blocked in two days #thecircle
40,2022-05-13 21:43:15+00:00,AdoreMy_Essence,I like that Rachel wasn’t shady and made her concerns about Carol known in front of Bru. #TheCircleNetflix #THECIRCLE
41,2022-05-13 21:41:49+00:00,quietconqueror,Frank's choice... I'm screaming #thecircle
42,2022-05-13 21:37:02+00:00,Silent_Podcasts,"Alert! Alert! is back to recap episodes 3 &amp; 4 of #TheCircleNetflix for you. Join @josianexnm and @kgd26 now as they discuss the great adventure to catch the Spice Girls!

https://t.co/ErpSUJWY5O
https://t.co/HonTPhXeRP

#thecircle #thecircleseason4 https://t.co/XC4mJeyWHi"
43,2022-05-13 21:32:25+00:00,AddyMonique,I’m loving the Spice Girls on #TheCircle
44,2022-05-13 21:22:08+00:00,Telecotilla2,Rachel is my favorite to win #THECIRCLE https://t.co/UP27cgjTqG
45,2022-05-13 21:19:19+00:00,quietconqueror,The ones playing their parents are trying sooo hard with these groupchats #thecircle
46,2022-05-13 21:18:36+00:00,rawrxd_trixie,TBH #TheCircle tea is not hitting this season…imma still finish it tho
47,2022-05-13 21:15:48+00:00,decider,Alex evaded detection in perhaps the most nail-biting catfish showdown in #TheCircle history: https://t.co/X6zC5yOGX3 https://t.co/J5MvQbvQ5y
48,2022-05-13 21:13:07+00:00,spenceranti,finally seated for #TheCircle
49,2022-05-13 21:12:27+00:00,rawrxd_trixie,I’m actually very upset that Yu Ling let Alyssa persuade her to eliminate Crissa especially when it didn’t help her game #thecircle #TheCircleNetflix https://t.co/ozCQcIME9E
50,2022-05-13 21:11:21+00:00,quietconqueror,Paul is outta here lmaooo #thecircle
51,2022-05-13 21:02:41+00:00,Brekkietweets,"@superTV247 Everytime I see the latest C4 reality show, clearly only comissioned for the benefit of Gogglebox, tanking in the ratings, the decision to pull #TheCircle looks weaker and weaker."
52,2022-05-13 20:59:43+00:00,quietconqueror,Parker... you don't know what a memoir is 😭 I'm lighting a candle for your departure  #thecircle
53,2022-05-13 20:56:18+00:00,quietconqueror,Ok she doesn't know who Rod Stewart is. Good luck playing a 56 year old without the pop culture references of someone his age  #thecircle
54,2022-05-13 20:54:33+00:00,quietconqueror,Was waiting for another one of the skinny/conventionally attractive people to play anyone other than themselves and in comes Parker #thecircle
55,2022-05-13 20:52:12+00:00,TheToastyPhil,"It's hard for me to figure out if #TheCircle second boot made sense or if it just looks that way because of editing. There were really only 4 options, so I think they got unlucky + Carol did a better job at creating alliances."
56,2022-05-13 20:50:50+00:00,paigedior,People don’t know who Crissa is on this show? 🥲 #TheCircle
57,2022-05-13 20:50:24+00:00,RighteousMinnie,#TheCircle got my nerves so bad. I'm going to be biting my nails until May 18th
58,2022-05-13 20:49:05+00:00,rubyjnkie,lol at the first elimination on #thecircle
59,2022-05-13 20:36:47+00:00,MikeGiuda,this is a Yu Ling stan account #TheCircle #TheCircleNetflix https://t.co/jg5TFkrkQI
60,2022-05-13 20:31:26+00:00,ZahraFatih72,@GregDav94758992 The AUDACITY of Channel 4 showing #TheCircle USA on #Gogglebox after cancelling our much superior version 😤
61,2022-05-13 20:29:12+00:00,TamiOsama,I honestly love frank from #TheCircle season 4 so much.. he’s the realist so far since Shubham from season 1!
62,2022-05-13 20:25:11+00:00,elliot_gonzalez,Good to see #TheCircle back on Channel 4… shame though that it’s only a clip of the (brilliant) Netflix US series on #Gogglebox. Easily the best reality TV format since Big Brother.
63,2022-05-13 20:23:46+00:00,turntheboxon,Literally me watching @Channel4 showing #TheCircle on #Gogglebox after they cancelled it. BRING IT BACK. https://t.co/KI6JO9R8sU
64,2022-05-13 20:23:41+00:00,Matts_Tweeting,"Just did a voice search for #thecircle on #skyQ
Nope. No result
#Gogglebox"
65,2022-05-13 20:23:03+00:00,coxyhockeychick,"""It's a Melanie"" 😂😂😂 #Gogglebox #TheCircle  #SpiceGirlFact ... me and @OfficialMelB have the exact same birthday 
29.05.1975"
66,2022-05-13 20:20:50+00:00,rogernook,@JillHudson21 #TheCircle ⭕ American version I never knew there was one #Gogglebox 📺
67,2022-05-13 20:20:30+00:00,superTV247,The AUDACITY of Channel 4 showing #TheCircle USA on #Gogglebox after cancelling our much superior version 😤
68,2022-05-13 20:20:26+00:00,turntheboxon,Channel 4 showing #TheCircle on #Gogglebox when they axed it https://t.co/3Ge2QFDnUI
69,2022-05-13 20:19:53+00:00,Matts_Tweeting,"I had no idea #thecircle usa was on
#Gogglebox"
70,2022-05-13 20:19:47+00:00,C4Gogglebox,"Anyone can be anyone in #TheCircle ⭕️
#TheCircleNetflix #Gogglebox https://t.co/rMTpmeTVXm"
71,2022-05-13 20:03:32+00:00,QViolet_97,"So they get shown 4 photos from another players photo albums at random, and then can anonymously ask that player a question after posting the photo. Interesting. #TheCircle"
72,2022-05-13 20:01:55+00:00,_SecretSinner,Ready for #TheCircle next week
73,2022-05-13 20:01:08+00:00,JessCaptureMe,Frank is my favorite lmao #TheCircleNetflix #thecircleseason3 #TheCircle https://t.co/uPdvgarV2e
74,2022-05-13 19:57:56+00:00,CalebHunton,#TheCircle is so good! Can’t believe Rob Cesternino insinuated that people don’t love the circle anymore.
75,2022-05-13 19:53:29+00:00,ThePopBreak,"Roses &amp; Rejections: Netflix’s The Circle Season 4

Hosts: @RosesRejections #TheCircleNetflix #TheCircle #thecircleseason4 #Netflix 

https://t.co/GT4i9T5F7n"
76,2022-05-13 19:50:54+00:00,alllthingsposh,The ppl on #TheCircle really lack strategy. Like imagine thinking Im a influencer &amp; you gonna make me send home someone from MY alliance??? Yu Ling got FINESSED lmao
77,2022-05-13 19:50:38+00:00,_Venquie,I really love Seaburn aka Rebecca. He so damn funny. #TheCircle.
78,2022-05-13 19:44:35+00:00,Brittan95156826,“Y’all need to pay yall bills” LMFAO #TheCircle
79,2022-05-13 19:44:23+00:00,iam_claudia_,frank’s a bison and trevor from brooklyn iktr!!!🫶🏽🫶🏽🫶🏽 #TheCircleNetflix #TheCircle
80,2022-05-13 19:42:11+00:00,AaronGa61291255,"@JULEZ_91 She just appeared just so naturally herself.

I'm drawn to the players who are just themselves and not performing all the time.  She made me smile when against ""jock""  stereotype she seemed to be having fun.

My ❤ dropped at her reaction to Yu Ling walking in.

#TheCircle"
81,2022-05-13 19:40:58+00:00,alldayQD,"Also, Rachel! Love her brutal honesty. Makes for a more dramatic viewing experience over the cringey diplomatic platitudes. So glad she was cast. #TheCircle"
82,2022-05-13 19:40:28+00:00,MrsLiveLife,"@NgceboMthiya Home in Centurion, drinking wine and enjoying #SavageBeauty. Next is #TheCircle. Happiness!! ❤️ https://t.co/Z1Qz57O8vm"
83,2022-05-13 19:40:00+00:00,alldayQD,Nathan/Alex is rising up to be one of my favourite players from #TheCircle. He's running circles around these players right now. Love the strategic AF.
84,2022-05-13 19:38:26+00:00,thetaquana,This last episode of #TheCircle was giving #rootingforeverybodyblack https://t.co/0qZ384kxSG
85,2022-05-13 19:37:50+00:00,Kenxbb,#TheCircle there’s something about Alyssa that runs me off the wrong way idk😭😭 I think she’s racist
86,2022-05-13 19:35:45+00:00,AaronGa61291255,"Absolute Travesty!!! Crissa gone! My favourite in the show, so naturally herself.

How about initiating a chat before ""she keeps cards close to her chest!""

Yu Ling..... Alyssa played you.

But then Yu Ling &amp; Alyssa are my next favourites.

#TheCircle"
87,2022-05-13 19:30:21+00:00,JayDaSmiff,"This can change, but for now (I’m on ep 5) I am #teamFrank #teamYuLing #teamAlyssa #TheCircle #circlenetflix"
88,2022-05-13 19:22:41+00:00,ancsimmons,"okay aside from this looking like the start of my soft audition for s5 of @circlenetflix, i really do want to find y’all! i need more ppl to talk to about this szn!!

#thecircle #thecirclenetflix"
89,2022-05-13 19:21:37+00:00,JULEZ_91,Didn’t realize everyone was so high on Crissa. 😬 She just seemed really quiet to me. #TheCircle
90,2022-05-13 19:20:32+00:00,ancsimmons,"where my #circulators at? and no, not dc, smarty pants 😏

that’s what i’ve coined the @circlenetflix day-one crew (unless of course there’s a more “official” term; don’t hate me mama @michellebuteau 😅)

#thecircle #thecirclenetflix"
91,2022-05-13 19:11:04+00:00,Brittan95156826,More niggas in the chat yuhhhh #TheCircle
92,2022-05-13 19:10:32+00:00,Malisea,The flirting between Yung Li and Nathan on #TheCircle has me weak 😆😆😆 https://t.co/cJkzwK1ohy
93,2022-05-13 19:09:04+00:00,JULEZ_91,"I was unnecessarily excited when Trevor entered the circle. His wife absolutely KILLED it in season 2. However, I don’t like the “if you did it, I can do it too” attitude. She worked her ass off from day one. #TheCircle"
94,2022-05-13 19:08:09+00:00,taynement,John is so good as Carol. Rooting for him #thecircle
95,2022-05-13 19:06:56+00:00,JULEZ_91,I actually miss them 😭 #TheCircle https://t.co/1Q3Gww5dHq
96,2022-05-13 19:06:04+00:00,mairyleo,"Is it just me or is #TheCircle S4 so boring? I mean, S2 was iconic. Everything else is just meh"
97,2022-05-13 19:05:55+00:00,ShirtyMorris,"People on #TheCircle are so meh with there catfishing 😂

Id go on as widowed, amputee, army veteran who had his mates get blow apart in front of him, also be throwing the ""ill be giving my winnings to army veteran charities"""
98,2022-05-13 19:04:48+00:00,smurferino,Yu Ling - make up ✅ excellent nails ✅ four foot six ✅  I love #TheCircle
99,2022-05-13 19:04:39+00:00,Basseyworld,Trevor fine as hell. #TheCircle
100,2022-05-13 19:04:34+00:00,JULEZ_91,I really hope Bru picks Alyssa. I have liked Yu Ling less and less as the show went on. #TheCircle
101,2022-05-13 19:04:04+00:00,JULEZ_91,Omg this season of #TheCircle is crazy!! The suspense is at an all time high. But here is @netflix with their weekly release BS again killing ALL momentum! 🙄
102,2022-05-13 19:02:55+00:00,LeslieMac,This was my EXACT reaction! #TheCircle https://t.co/Knuz2aocu9
103,2022-05-13 18:57:10+00:00,saintjwarren,How could I forget to mention #TheCircle? A one time fave I'd stopped watching this reality series for its predictability and senseless drama. This season is either well worth watching or I'm really in need of the entertainment! #SpiceGirls https://t.co/GZdeyaKpGa
104,2022-05-13 18:57:07+00:00,smurferino,Alex/Nathan giving strong incel vibes #thecircle https://t.co/6SNigRvOHO
105,2022-05-13 18:47:54+00:00,Brittan95156826,I need Frank to win fr #TheCircle
106,2022-05-13 18:47:24+00:00,smurferino,Omg Mel B and Emma Bunton on #TheCircle ♥️ These absolute queens #kingdare
107,2022-05-13 18:44:16+00:00,realityalert_,"We're about to go LIVE on YouTube and Twitch to discuss Season 4 Episode 7 of @CircleNetflix! Join us!

YT: https://t.co/1rTTVeI3yu
Twitch: https://t.co/F6qgCMTFpG

#TheCircle #TheCircleNetflix #Netflix #TheCircleUS #Circle #CircleNetflix #Reality #realityseries https://t.co/FmpPMx1H61"
108,2022-05-13 18:42:19+00:00,_FaithfulAngel,Ahhhh I gotta catch up!!!!! #TheCircle https://t.co/VNoBoYrHK8
109,2022-05-13 18:41:11+00:00,Brittan95156826,Crissa?! Someone call the naacp on Alyssa #TheCircle
110,2022-05-13 18:41:01+00:00,lukebbz,"Catching up on #TheCircle and my God, this girl playing her dad is as dumb as cement."
111,2022-05-13 18:39:21+00:00,ayeeejazmine,Episode 8 got me pissed off!!!!! This whole anti virus software blocking is all fucked up!! #TheCircle #TheCircleUSA https://t.co/LB7il7VBhl
112,2022-05-13 18:38:24+00:00,jillianclare,Omg they don’t know what a memoir is either. #thecircle
113,2022-05-13 18:35:41+00:00,jillianclare,How the fuck do these people not know who Rod Stewart is? #TheCircle
114,2022-05-13 18:31:30+00:00,Always_Decadent,Crissa is very attractive to me #TheCircle
115,2022-05-13 18:31:11+00:00,ChronicallyBea2,@chronic_illmess GURRRRRLLLL!!! It’s so goooooood!!! Yas Queen! Last episode today right?! Also- Netflix #TheCircle has a bunch of AMAZING 🤩 Female Guest Stars- #SpiceWorld
116,2022-05-13 18:25:34+00:00,ayeeejazmine,"Yu Ling girllll WTF😳…you’re not loyal!🤦🏾‍♀️
#TheCircle #TheCircleUSA"
117,2022-05-13 18:24:17+00:00,alldayARIday,"Yu Ling you did not even try that hard to keep Crissa, stop it 🫠 #TheCircle"
118,2022-05-13 18:19:23+00:00,cheer4shawty,Can’t believe Yu Ling switched up on Crissa like that! #TheCircle
119,2022-05-13 18:19:03+00:00,caliphorniaqing,Alyssa kinda fine to me. mama is a lil thick #TheCircle
120,2022-05-13 18:18:31+00:00,HerWayAvenue,I just wanna watch #TheCircle waiting until next week ain’t it 😩
121,2022-05-13 18:17:02+00:00,AdoreMarie_,#TheCircle is my fav reality show in a minute. it’s sooooo intense!! lmao and always major kuddos to them for keeping the game unpredictable with all the twists and changes! #TheCircleNetflix
122,2022-05-13 18:10:56+00:00,jillianclare,Wow this girl on #TheCircle called us Millennials “burnt out and jaded” and yeah you would be too if you were us
123,2022-05-13 17:55:17+00:00,AdoreMy_Essence,Lowkey I hate Trevor’s room in #TheCircle the tiles in the bedroom is just not it at allll. #TheCircleNetflix
124,2022-05-13 17:54:19+00:00,AdoreMy_Essence,TREVOR!!! I love to see it! We get to know who the real Trevor is! I loved Deleesa so I can’t wait to know about her other half. #TheCircle #TheCircleNetflix
125,2022-05-13 17:50:55+00:00,grand__marquee,Why did sis even admit she didn’t know what a memoir was? 🤣🤣 #TheCircle
126,2022-05-13 17:48:25+00:00,x_cr3am,Why does Frank talk like a five year old reading a book?! #TheCircleNetflix #thecircle
127,2022-05-13 17:47:12+00:00,AdoreMarie_,the man playing nathan is smart af 🤣😂 #TheCircle #TheCircleNetflix
128,2022-05-13 17:43:30+00:00,curvychic26,"It is carol who is being saved #TheCircleNetflix or is it???
Oh my God this is fire!! 👀 #TheCircle"
129,2022-05-13 17:43:08+00:00,AdoreMy_Essence,I’m surprised that Frank didn’t ask why Yu Ling didn’t go batting for Crissa when she was in the influence hang out. #TheCircleNetflix #TheCircle
130,2022-05-13 17:40:46+00:00,ohreve,oh man bru that was a good question #thecircle
131,2022-05-13 17:20:53+00:00,TalkYoShitASH,Y’all S4 of #TheCircle on #Netflix is ehhhhhh 🫤 So far 🤷🏻‍♀️ I just started E7 💁🏻‍♀️ Yu Ling did a whole 360 when she had to block E6 🙄 I don’t like her anymore 😌 I hope Frank or Alyssa wins! Realest players since the beginning‼️
132,2022-05-13 17:20:13+00:00,AdoreMy_Essence,"Crissa said vote with your heart. How is Yu Ling voting with her heart if she will from this point forward, do Crissa justice by voting out Bru? #TheCircleNetflix #TheCircle"
133,2022-05-13 17:18:14+00:00,AdoreMy_Essence,I’m gonna actually miss Crissa and her cool basketball tricks 🥺. #TheCircleNetflix #TheCircle
134,2022-05-13 17:13:50+00:00,AdoreMy_Essence,"Yu Ling…Bru is a RADIO HOST! Even tho he gets nervous around girls he still has to be funny for him to succeed in his profession. The roast challenge was right up his alley. That’s why he did so well, not because he’s a catfish. #TheCircleNetflix #TheCircle"
135,2022-05-13 17:10:04+00:00,Elizabe29708315,Will people ever learn that #TheCircle is a young persons' game so Catfishing as an older person is gonna have you booted 🤦🏻‍♀️#TheCircleNetflix #TheCircleSeason4
136,2022-05-13 17:09:09+00:00,35Dabba,"Me, as Nathan, talking to the ceiling after they type this message:

“Guys that’s great- can you just change it to ‘single’ and not ‘singal’”? Grrrreat thanks.”

You’d think they’d have an English scholar transcribing lol…
That’s not even a word! 😂

#TheCircleNetflix #TheCircle https://t.co/CtqfzuWYOi"
137,2022-05-13 17:09:03+00:00,AdoreMy_Essence,Not Frank blocking the door 😭😭 #TheCircleNetflix #TheCircle
138,2022-05-13 17:02:28+00:00,CircleDiscuss,"Who's your favorite remaining contestant?
#TheCircle #TheCircleNetflix https://t.co/jsZzGDkVqO"
139,2022-05-13 16:58:49+00:00,AdoreMy_Essence,Roasted Catfish is funny 😂😂 #TheCircleNetflix #TheCircle
140,2022-05-13 16:53:03+00:00,SiandaSianda,Everyone commenting on #thecircle seem to have forgotten it’s a game?!? They need to cut people out according to who they believe will help them win?!?!?
141,2022-05-13 16:53:02+00:00,AdoreMy_Essence,Nikki Glaser delivered Rachel’s roast SO WELL! You would have thought she wrote it. 👏🏾👏🏾 #TheCircleNetflix #TheCircle
142,2022-05-13 16:52:12+00:00,AdoreMy_Essence,Rachellll! The build up of Rachel’s joke was SO GOOD! #TheCircle #TheCircleNetflix
143,2022-05-13 16:46:41+00:00,AdoreMy_Essence,I was today years old when I found out what a peanut gallery was. #TheCircleNetflix #TheCircle
144,2022-05-13 16:41:45+00:00,AdoreMy_Essence,I thought that Nathan mentioning Yu Ling’s mom was gonna be bad but he did GOOD! #TheCircleNetflix #TheCircle
145,2022-05-13 16:37:43+00:00,ChuDanielle,put Kyrie and i on #TheCircle @netflix
146,2022-05-13 16:37:04+00:00,zenaaraison,"if alyssa isn’t getting blocked from the  circle next week, i promise you… we WILL have a problem circle. or can you block alyssa and carol at the same time ? 🫣#TheCircle #TheCircleNetflix"
147,2022-05-13 16:34:25+00:00,AdoreMy_Essence,Yess! I’m so happy Nikki Glaser mentioned that Carol’s texts seemed like a mom writing a text message. 😂 good job John. #TheCircleNetflix #TheCircle
148,2022-05-13 16:29:48+00:00,AdoreMy_Essence,Alyssa is an influencer! I’m happy that the cast didn’t read too much into the Spice Girls’ cryptic message about their still being catfish amongst them. #TheCircle #TheCircleNetflix
149,2022-05-13 16:29:19+00:00,Elimare,Exactly how soundproofed are those apartments in #thecircle with all the screaming they do?
150,2022-05-13 16:28:31+00:00,KENNECTED,"I am living for Frank, Carissa and ""Momma Carol""  @CircleNetflix 

""Paul"" was a target from jump.  ""He"" did not do his research!

#TheCircleNetflix 
#TheCircle 
#TheCircleUS"
151,2022-05-13 16:24:08+00:00,AdoreMy_Essence,Leave it up to #TheCircle to spice things up. I would have thought that the rating results would have came after the roast but no! 😂 #TheCircleNetflix
152,2022-05-13 16:23:08+00:00,taynement,Emma has told Mel she loves her multiple times and she never says it back 😂#thecircle
153,2022-05-13 16:21:38+00:00,AdoreMy_Essence,Yasss YU LING! Come through with the fun unique makeup looks! #TheCircleNetflix #TheCircle https://t.co/O2OYEr5Hzu
154,2022-05-13 16:17:48+00:00,seungy8ncaptain,"Female music engineer of WINNER Concert #THECIRCLE insta story update

“The weekend gathering turns into #WINNER concert online review🥲 Until like this, people who worked so hard…”

#위너 @yginnercircle #강승윤 #김진우 #송민호 #이승훈 https://t.co/d9vPxTF01r"
155,2022-05-13 16:15:16+00:00,evanlian_,@AWildBriz tryna deflect all the heat to the other catfish in the game 🤣 @_johnfranklin_ #TheCircleNetflix #thecircle https://t.co/av5skaljgf
156,2022-05-13 16:14:09+00:00,AdoreMy_Essence,I don’t know what a vulva hug means either 😂 #TheCircle #TheCircleNetflix
157,2022-05-13 16:14:00+00:00,ShahLatona,"Now I’m waiting for next Wednesday to come because #TheCircle is clearly bringing the drama! I would send both Alyssa and Carol/Josh home! Wait, his name is John, I’ve been saying his name wrong this whole time!"
158,2022-05-13 16:05:59+00:00,AdoreMy_Essence,Why are they making it seem like 22yr olds don’t have any sense at all. When I was 22yrs old I was fresh out of college and I definitely knew a lot. The cast is making it seem like 22 yr olds are the next 15 yr olds 🤨 #TheCircleNetflix #TheCircle
159,2022-05-13 16:03:52+00:00,t3rr3z,Not the real trevor being on #TheCircle
160,2022-05-13 16:03:05+00:00,FatoumataM,now why is Trevor here… #TheCircle
161,2022-05-13 15:59:45+00:00,ThatShaneWilson,"I really wanted to like Frank, but I swear this dude is a human screensaver. 

Like, he’s fun to watch, but there is just nothing really HAPPENING with him. 

#TheCircleNetflix #TheCircle4 #TheCircle https://t.co/rlxRXVFk9S"
162,2022-05-13 15:53:38+00:00,___jdbeauty,I reallly hope they blocked Carol chile #TheCircle #TheCircleNetflix
163,2022-05-13 15:48:11+00:00,dezitex,Carissa and Frank are probably my faves so far. #TheCircle
164,2022-05-13 15:44:54+00:00,Those_Vibes,"#TheCircle Who Should Stay, Go &amp; Win…
Alyssa: Stay (not win tho), Frank: should win, Yu Ling: make it to the final/win, Bru: sweet guy but he’s not  strategic at all, he needs to go, Carol: NEEDS TO GO, Nathan: Respect his game fr but the catfish needs to go, Rachel: should stay"
165,2022-05-13 15:42:55+00:00,estherbenii,"Like I just called an elderly woman and she used ma to finish me🥹like she is not even begging for favors o,Just full of so much courtesy😍#TheCircle #JesusisGod"
166,2022-05-13 15:40:25+00:00,decider,"""I was angry. I was angry. I was upset. I was bummed out. I had a feeling but I was like, man, Yu Ling. Please, please save me."" #TheCircle player Crissa Jackson opens up about that face-to-face blocking: https://t.co/EwpUht4DOo https://t.co/LTQevxYyAT"
167,2022-05-13 15:39:01+00:00,Those_Vibes,"(1) Honestly I genuinely think Alyssa just didn’t like Crissa and that’s why she blocked her. It would have been WAY more logical to block Carol someone Alyssa AND Yu Ling suspected of being a catfish and lying, who is considered really strategic and is rated high #TheCircle"
168,2022-05-13 15:35:33+00:00,CalebHunton,Glad these guys have all made it to the no new players mark! Such a big milestone for them. #TheCircle
169,2022-05-13 15:35:04+00:00,CalebHunton,Emerson isn’t winning and Nathan isn’t winning… calling it now #TheCircle
170,2022-05-13 15:34:35+00:00,CalebHunton,This feels soon to close off all new players.  #TheCircle
171,2022-05-13 15:33:25+00:00,CalebHunton,Frank is the best😂😂 #TheCircle
172,2022-05-13 15:33:07+00:00,CalebHunton,Yu ling really went there😂😂 #TheCircle
173,2022-05-13 15:32:49+00:00,CalebHunton,Nathan is playing to much into the douche card lol #TheCircle
174,2022-05-13 15:31:29+00:00,CalebHunton,Yu asked a weird question lol #TheCircle
175,2022-05-13 15:30:23+00:00,CalebHunton,"Eversen should just be happy to be there, he ain’t lasting long 😂😂 #TheCircle"
176,2022-05-13 15:28:50+00:00,CalebHunton,Rachel’s reaction to eversons pic😂😂 #TheCircle
177,2022-05-13 15:28:17+00:00,CalebHunton,Imani is off to a great start with this party!  #TheCircle
178,2022-05-13 15:28:04+00:00,CalebHunton,Emerson shoulda known ain’t no one goin to his party lol #TheCircle
