,sentiments,user,tweet,hashtag,player
43,POSITIVE,AddyMonique,I’m loving the Spice Girls on #TheCircle,['TheCircle'],{'playereight'}
44,POSITIVE,Telecotilla2,Rachel is my favorite to win #THECIRCLE https://t.co/UP27cgjTqG,['THECIRCLE'],set()
45,NEGATIVE,quietconqueror,The ones playing their parents are trying sooo hard with these groupchats #thecircle,['thecircle'],set()
46,NEGATIVE,rawrxd_trixie,TBH #TheCircle tea is not hitting this season…imma still finish it tho,['TheCircle'],set()
47,NEGATIVE,decider,Alex evaded detection in perhaps the most nail-biting catfish showdown in #TheCircle history: https://t.co/X6zC5yOGX3 https://t.co/J5MvQbvQ5y,['TheCircle'],{'playerten'}
48,POSITIVE,spenceranti,finally seated for #TheCircle,['TheCircle'],set()
49,NEGATIVE,rawrxd_trixie,I’m actually very upset that Yu Ling let Alyssa persuade her to eliminate Crissa especially when it didn’t help her game #thecircle #TheCircleNetflix https://t.co/ozCQcIME9E,"['thecircle', 'TheCircleNetflix']","{'playertwo', 'playerf', 'playerthr'}"
50,NEGATIVE,quietconqueror,Paul is outta here lmaooo #thecircle,['thecircle'],{'playerseven'}
51,NEGATIVE,Brekkietweets,"@superTV247 Everytime I see the latest C4 reality show, clearly only comissioned for the benefit of Gogglebox, tanking in the ratings, the decision to pull #TheCircle looks weaker and weaker.",['TheCircle'],set()
52,NEGATIVE,quietconqueror,Parker... you don't know what a memoir is 😭 I'm lighting a candle for your departure  #thecircle,['thecircle'],set()
53,POSITIVE,quietconqueror,Ok she doesn't know who Rod Stewart is. Good luck playing a 56 year old without the pop culture references of someone his age  #thecircle,['thecircle'],set()
54,NEGATIVE,quietconqueror,Was waiting for another one of the skinny/conventionally attractive people to play anyone other than themselves and in comes Parker #thecircle,['thecircle'],set()
55,NEGATIVE,TheToastyPhil,"It's hard for me to figure out if #TheCircle second boot made sense or if it just looks that way because of editing. There were really only 4 options, so I think they got unlucky + Carol did a better job at creating alliances.",['TheCircle'],{'playerfour'}
56,NEGATIVE,paigedior,People don’t know who Crissa is on this show? 🥲 #TheCircle,['TheCircle'],{'playerthr'}
57,NEGATIVE,RighteousMinnie,#TheCircle got my nerves so bad. I'm going to be biting my nails until May 18th,['TheCircle'],set()
58,NEGATIVE,rubyjnkie,lol at the first elimination on #thecircle,['thecircle'],set()
59,NEGATIVE,MikeGiuda,this is a Yu Ling stan account #TheCircle #TheCircleNetflix https://t.co/jg5TFkrkQI,"['TheCircle', 'TheCircleNetflix']",{'playertwo'}
60,NEGATIVE,ZahraFatih72,@GregDav94758992 The AUDACITY of Channel 4 showing #TheCircle USA on #Gogglebox after cancelling our much superior version 😤,"['TheCircle', 'Gogglebox']",set()
61,POSITIVE,TamiOsama,I honestly love frank from #TheCircle season 4 so much.. he’s the realist so far since Shubham from season 1!,['TheCircle'],{'playeron'}
62,POSITIVE,elliot_gonzalez,Good to see #TheCircle back on Channel 4… shame though that it’s only a clip of the (brilliant) Netflix US series on #Gogglebox. Easily the best reality TV format since Big Brother.,"['TheCircle', 'Gogglebox']",set()
63,NEGATIVE,turntheboxon,Literally me watching @Channel4 showing #TheCircle on #Gogglebox after they cancelled it. BRING IT BACK. https://t.co/KI6JO9R8sU,"['TheCircle', 'Gogglebox']",set()
64,NEGATIVE,Matts_Tweeting,"Just did a voice search for #thecircle on #skyQ
Nope. No result
#Gogglebox","['thecircle', 'skyQ', 'Gogglebox']",set()
65,NEGATIVE,coxyhockeychick,"""It's a Melanie"" 😂😂😂 #Gogglebox #TheCircle  #SpiceGirlFact ... me and @OfficialMelB have the exact same birthday 
29.05.1975","['Gogglebox', 'TheCircle', 'SpiceGirlFact']",set()
66,NEGATIVE,rogernook,@JillHudson21 #TheCircle ⭕ American version I never knew there was one #Gogglebox 📺,"['TheCircle', 'Gogglebox']",set()
67,NEGATIVE,superTV247,The AUDACITY of Channel 4 showing #TheCircle USA on #Gogglebox after cancelling our much superior version 😤,"['TheCircle', 'Gogglebox']",set()
68,NEGATIVE,turntheboxon,Channel 4 showing #TheCircle on #Gogglebox when they axed it https://t.co/3Ge2QFDnUI,"['TheCircle', 'Gogglebox']",set()
69,NEGATIVE,Matts_Tweeting,"I had no idea #thecircle usa was on
#Gogglebox","['thecircle', 'Gogglebox']",set()
70,NEGATIVE,C4Gogglebox,"Anyone can be anyone in #TheCircle ⭕️
#TheCircleNetflix #Gogglebox https://t.co/rMTpmeTVXm","['TheCircle', 'TheCircleNetflix', 'Gogglebox']",set()
71,NEGATIVE,QViolet_97,"So they get shown 4 photos from another players photo albums at random, and then can anonymously ask that player a question after posting the photo. Interesting. #TheCircle",['TheCircle'],set()
72,POSITIVE,_SecretSinner,Ready for #TheCircle next week,['TheCircle'],set()
73,POSITIVE,JessCaptureMe,Frank is my favorite lmao #TheCircleNetflix #thecircleseason3 #TheCircle https://t.co/uPdvgarV2e,"['TheCircleNetflix', 'thecircleseason3', 'TheCircle']",{'playeron'}
74,POSITIVE,CalebHunton,#TheCircle is so good! Can’t believe Rob Cesternino insinuated that people don’t love the circle anymore.,['TheCircle'],set()
75,NEGATIVE,ThePopBreak,"Roses &amp; Rejections: Netflix’s The Circle Season 4

Hosts: @RosesRejections #TheCircleNetflix #TheCircle #thecircleseason4 #Netflix 

https://t.co/GT4i9T5F7n","['TheCircleNetflix', 'TheCircle', 'thecircleseason4', 'Netflix']",set()
76,NEGATIVE,alllthingsposh,The ppl on #TheCircle really lack strategy. Like imagine thinking Im a influencer &amp; you gonna make me send home someone from MY alliance??? Yu Ling got FINESSED lmao,['TheCircle'],{'playertwo'}
77,POSITIVE,_Venquie,I really love Seaburn aka Rebecca. He so damn funny. #TheCircle.,['TheCircle'],set()
78,NEGATIVE,Brittan95156826,“Y’all need to pay yall bills” LMFAO #TheCircle,['TheCircle'],set()
79,NEGATIVE,iam_claudia_,frank’s a bison and trevor from brooklyn iktr!!!🫶🏽🫶🏽🫶🏽 #TheCircleNetflix #TheCircle,"['TheCircleNetflix', 'TheCircle']",set()
80,POSITIVE,AaronGa61291255,"@JULEZ_91 She just appeared just so naturally herself.

I'm drawn to the players who are just themselves and not performing all the time.  She made me smile when against ""jock""  stereotype she seemed to be having fun.

My ❤ dropped at her reaction to Yu Ling walking in.

#TheCircle",['TheCircle'],{'playertwo'}
81,POSITIVE,alldayQD,"Also, Rachel! Love her brutal honesty. Makes for a more dramatic viewing experience over the cringey diplomatic platitudes. So glad she was cast. #TheCircle",['TheCircle'],set()
82,POSITIVE,MrsLiveLife,"@NgceboMthiya Home in Centurion, drinking wine and enjoying #SavageBeauty. Next is #TheCircle. Happiness!! ❤️ https://t.co/Z1Qz57O8vm","['SavageBeauty', 'TheCircle']",set()
83,POSITIVE,alldayQD,Nathan/Alex is rising up to be one of my favourite players from #TheCircle. He's running circles around these players right now. Love the strategic AF.,['TheCircle'],set()
84,NEGATIVE,thetaquana,This last episode of #TheCircle was giving #rootingforeverybodyblack https://t.co/0qZ384kxSG,"['TheCircle', 'rootingforeverybodyblack']",set()
85,NEGATIVE,Kenxbb,#TheCircle there’s something about Alyssa that runs me off the wrong way idk😭😭 I think she’s racist,['TheCircle'],{'playerf'}
86,NEGATIVE,AaronGa61291255,"Absolute Travesty!!! Crissa gone! My favourite in the show, so naturally herself.

How about initiating a chat before ""she keeps cards close to her chest!""

Yu Ling..... Alyssa played you.

But then Yu Ling &amp; Alyssa are my next favourites.

#TheCircle",['TheCircle'],"{'playertwo', 'playerf', 'playerthr'}"
87,POSITIVE,JayDaSmiff,"This can change, but for now (I’m on ep 5) I am #teamFrank #teamYuLing #teamAlyssa #TheCircle #circlenetflix","['teamFrank', 'teamYuLing', 'teamAlyssa', 'TheCircle', 'circlenetflix']",set()
88,POSITIVE,ancsimmons,"okay aside from this looking like the start of my soft audition for s5 of @circlenetflix, i really do want to find y’all! i need more ppl to talk to about this szn!!

#thecircle #thecirclenetflix","['thecircle', 'thecirclenetflix']",set()
89,NEGATIVE,JULEZ_91,Didn’t realize everyone was so high on Crissa. 😬 She just seemed really quiet to me. #TheCircle,['TheCircle'],set()
90,NEGATIVE,ancsimmons,"where my #circulators at? and no, not dc, smarty pants 😏

that’s what i’ve coined the @circlenetflix day-one crew (unless of course there’s a more “official” term; don’t hate me mama @michellebuteau 😅)

#thecircle #thecirclenetflix","['circulators', 'thecircle', 'thecirclenetflix']",set()
91,NEGATIVE,Brittan95156826,More niggas in the chat yuhhhh #TheCircle,['TheCircle'],set()
92,NEGATIVE,Malisea,The flirting between Yung Li and Nathan on #TheCircle has me weak 😆😆😆 https://t.co/cJkzwK1ohy,['TheCircle'],{'playerten'}
93,NEGATIVE,JULEZ_91,"I was unnecessarily excited when Trevor entered the circle. His wife absolutely KILLED it in season 2. However, I don’t like the “if you did it, I can do it too” attitude. She worked her ass off from day one. #TheCircle",['TheCircle'],set()
94,POSITIVE,taynement,John is so good as Carol. Rooting for him #thecircle,['thecircle'],{'playerfour'}
95,NEGATIVE,JULEZ_91,I actually miss them 😭 #TheCircle https://t.co/1Q3Gww5dHq,['TheCircle'],set()
96,NEGATIVE,mairyleo,"Is it just me or is #TheCircle S4 so boring? I mean, S2 was iconic. Everything else is just meh",['TheCircle'],set()
97,NEGATIVE,ShirtyMorris,"People on #TheCircle are so meh with there catfishing 😂

Id go on as widowed, amputee, army veteran who had his mates get blow apart in front of him, also be throwing the ""ill be giving my winnings to army veteran charities""",['TheCircle'],set()
98,POSITIVE,smurferino,Yu Ling - make up ✅ excellent nails ✅ four foot six ✅  I love #TheCircle,['TheCircle'],{'playertwo'}
99,POSITIVE,Basseyworld,Trevor fine as hell. #TheCircle,['TheCircle'],set()
100,NEGATIVE,JULEZ_91,I really hope Bru picks Alyssa. I have liked Yu Ling less and less as the show went on. #TheCircle,['TheCircle'],"{'playertwo', 'playersix'}"
101,POSITIVE,JULEZ_91,Omg this season of #TheCircle is crazy!! The suspense is at an all time high. But here is @netflix with their weekly release BS again killing ALL momentum! 🙄,['TheCircle'],set()
102,POSITIVE,LeslieMac,This was my EXACT reaction! #TheCircle https://t.co/Knuz2aocu9,['TheCircle'],set()
103,NEGATIVE,saintjwarren,How could I forget to mention #TheCircle? A one time fave I'd stopped watching this reality series for its predictability and senseless drama. This season is either well worth watching or I'm really in need of the entertainment! #SpiceGirls https://t.co/GZdeyaKpGa,"['TheCircle', 'SpiceGirls']",set()
104,POSITIVE,smurferino,Alex/Nathan giving strong incel vibes #thecircle https://t.co/6SNigRvOHO,['thecircle'],set()
105,NEGATIVE,Brittan95156826,I need Frank to win fr #TheCircle,['TheCircle'],{'playeron'}
106,POSITIVE,smurferino,Omg Mel B and Emma Bunton on #TheCircle ♥️ These absolute queens #kingdare,"['TheCircle', 'kingdare']",{'playereight'}
107,NEGATIVE,realityalert_,"We're about to go LIVE on YouTube and Twitch to discuss Season 4 Episode 7 of @CircleNetflix! Join us!

YT: https://t.co/1rTTVeI3yu
Twitch: https://t.co/F6qgCMTFpG

#TheCircle #TheCircleNetflix #Netflix #TheCircleUS #Circle #CircleNetflix #Reality #realityseries https://t.co/FmpPMx1H61","['TheCircle', 'TheCircleNetflix', 'Netflix', 'TheCircleUS', 'Circle', 'CircleNetflix', 'Reality', 'realityseries']",set()
108,NEGATIVE,_FaithfulAngel,Ahhhh I gotta catch up!!!!! #TheCircle https://t.co/VNoBoYrHK8,['TheCircle'],set()
109,NEGATIVE,Brittan95156826,Crissa?! Someone call the naacp on Alyssa #TheCircle,['TheCircle'],{'playerf'}
110,NEGATIVE,lukebbz,"Catching up on #TheCircle and my God, this girl playing her dad is as dumb as cement.",['TheCircle'],{'playereight'}
111,NEGATIVE,ayeeejazmine,Episode 8 got me pissed off!!!!! This whole anti virus software blocking is all fucked up!! #TheCircle #TheCircleUSA https://t.co/LB7il7VBhl,"['TheCircle', 'TheCircleUSA']",set()
112,NEGATIVE,jillianclare,Omg they don’t know what a memoir is either. #thecircle,['thecircle'],set()
113,NEGATIVE,jillianclare,How the fuck do these people not know who Rod Stewart is? #TheCircle,['TheCircle'],set()
114,POSITIVE,Always_Decadent,Crissa is very attractive to me #TheCircle,['TheCircle'],{'playerthr'}
115,POSITIVE,ChronicallyBea2,@chronic_illmess GURRRRRLLLL!!! It’s so goooooood!!! Yas Queen! Last episode today right?! Also- Netflix #TheCircle has a bunch of AMAZING 🤩 Female Guest Stars- #SpiceWorld,"['TheCircle', 'SpiceWorld']",set()
116,NEGATIVE,ayeeejazmine,"Yu Ling girllll WTF😳…you’re not loyal!🤦🏾‍♀️
#TheCircle #TheCircleUSA","['TheCircle', 'TheCircleUSA']",{'playertwo'}
117,NEGATIVE,alldayARIday,"Yu Ling you did not even try that hard to keep Crissa, stop it 🫠 #TheCircle",['TheCircle'],{'playertwo'}
118,NEGATIVE,cheer4shawty,Can’t believe Yu Ling switched up on Crissa like that! #TheCircle,['TheCircle'],"{'playertwo', 'playerthr'}"
119,POSITIVE,caliphorniaqing,Alyssa kinda fine to me. mama is a lil thick #TheCircle,['TheCircle'],{'playerf'}
120,NEGATIVE,HerWayAvenue,I just wanna watch #TheCircle waiting until next week ain’t it 😩,['TheCircle'],set()
121,POSITIVE,AdoreMarie_,#TheCircle is my fav reality show in a minute. it’s sooooo intense!! lmao and always major kuddos to them for keeping the game unpredictable with all the twists and changes! #TheCircleNetflix,"['TheCircle', 'TheCircleNetflix']",set()
122,POSITIVE,jillianclare,Wow this girl on #TheCircle called us Millennials “burnt out and jaded” and yeah you would be too if you were us,['TheCircle'],{'playereight'}
123,NEGATIVE,AdoreMy_Essence,Lowkey I hate Trevor’s room in #TheCircle the tiles in the bedroom is just not it at allll. #TheCircleNetflix,"['TheCircle', 'TheCircleNetflix']",set()
124,POSITIVE,AdoreMy_Essence,TREVOR!!! I love to see it! We get to know who the real Trevor is! I loved Deleesa so I can’t wait to know about her other half. #TheCircle #TheCircleNetflix,"['TheCircle', 'TheCircleNetflix']",set()
125,NEGATIVE,grand__marquee,Why did sis even admit she didn’t know what a memoir was? 🤣🤣 #TheCircle,['TheCircle'],set()
126,NEGATIVE,x_cr3am,Why does Frank talk like a five year old reading a book?! #TheCircleNetflix #thecircle,"['TheCircleNetflix', 'thecircle']",{'playeron'}
127,POSITIVE,AdoreMarie_,the man playing nathan is smart af 🤣😂 #TheCircle #TheCircleNetflix,"['TheCircle', 'TheCircleNetflix']",{'playerten'}
128,NEGATIVE,curvychic26,"It is carol who is being saved #TheCircleNetflix or is it???
Oh my God this is fire!! 👀 #TheCircle","['TheCircleNetflix', 'TheCircle']",{'playerfour'}
129,POSITIVE,AdoreMy_Essence,I’m surprised that Frank didn’t ask why Yu Ling didn’t go batting for Crissa when she was in the influence hang out. #TheCircleNetflix #TheCircle,"['TheCircleNetflix', 'TheCircle']","{'playertwo', 'playeron', 'playerthr'}"
130,POSITIVE,ohreve,oh man bru that was a good question #thecircle,['thecircle'],{'playersix'}
131,POSITIVE,TalkYoShitASH,Y’all S4 of #TheCircle on #Netflix is ehhhhhh 🫤 So far 🤷🏻‍♀️ I just started E7 💁🏻‍♀️ Yu Ling did a whole 360 when she had to block E6 🙄 I don’t like her anymore 😌 I hope Frank or Alyssa wins! Realest players since the beginning‼️,"['TheCircle', 'Netflix']","{'playertwo', 'playerf', 'playeron'}"
132,POSITIVE,AdoreMy_Essence,"Crissa said vote with your heart. How is Yu Ling voting with her heart if she will from this point forward, do Crissa justice by voting out Bru? #TheCircleNetflix #TheCircle","['TheCircleNetflix', 'TheCircle']","{'playertwo', 'playerthr'}"
133,NEGATIVE,AdoreMy_Essence,I’m gonna actually miss Crissa and her cool basketball tricks 🥺. #TheCircleNetflix #TheCircle,"['TheCircleNetflix', 'TheCircle']",{'playerthr'}
134,NEGATIVE,AdoreMy_Essence,"Yu Ling…Bru is a RADIO HOST! Even tho he gets nervous around girls he still has to be funny for him to succeed in his profession. The roast challenge was right up his alley. That’s why he did so well, not because he’s a catfish. #TheCircleNetflix #TheCircle","['TheCircleNetflix', 'TheCircle']",{'playertwo'}
135,NEGATIVE,Elizabe29708315,Will people ever learn that #TheCircle is a young persons' game so Catfishing as an older person is gonna have you booted 🤦🏻‍♀️#TheCircleNetflix #TheCircleSeason4,"['TheCircle', 'TheCircleNetflix', 'TheCircleSeason4']",set()
136,NEGATIVE,35Dabba,"Me, as Nathan, talking to the ceiling after they type this message:

“Guys that’s great- can you just change it to ‘single’ and not ‘singal’”? Grrrreat thanks.”

You’d think they’d have an English scholar transcribing lol…
That’s not even a word! 😂

#TheCircleNetflix #TheCircle https://t.co/CtqfzuWYOi","['TheCircleNetflix', 'TheCircle']",set()
137,NEGATIVE,AdoreMy_Essence,Not Frank blocking the door 😭😭 #TheCircleNetflix #TheCircle,"['TheCircleNetflix', 'TheCircle']",{'playeron'}
138,NEGATIVE,CircleDiscuss,"Who's your favorite remaining contestant?
#TheCircle #TheCircleNetflix https://t.co/jsZzGDkVqO","['TheCircle', 'TheCircleNetflix']",set()
139,POSITIVE,AdoreMy_Essence,Roasted Catfish is funny 😂😂 #TheCircleNetflix #TheCircle,"['TheCircleNetflix', 'TheCircle']",set()
140,NEGATIVE,SiandaSianda,Everyone commenting on #thecircle seem to have forgotten it’s a game?!? They need to cut people out according to who they believe will help them win?!?!?,['thecircle'],set()
141,POSITIVE,AdoreMy_Essence,Nikki Glaser delivered Rachel’s roast SO WELL! You would have thought she wrote it. 👏🏾👏🏾 #TheCircleNetflix #TheCircle,"['TheCircleNetflix', 'TheCircle']",set()
142,POSITIVE,AdoreMy_Essence,Rachellll! The build up of Rachel’s joke was SO GOOD! #TheCircle #TheCircleNetflix,"['TheCircle', 'TheCircleNetflix']",set()
143,NEGATIVE,AdoreMy_Essence,I was today years old when I found out what a peanut gallery was. #TheCircleNetflix #TheCircle,"['TheCircleNetflix', 'TheCircle']",set()
144,POSITIVE,AdoreMy_Essence,I thought that Nathan mentioning Yu Ling’s mom was gonna be bad but he did GOOD! #TheCircleNetflix #TheCircle,"['TheCircleNetflix', 'TheCircle']","{'playertwo', 'playerten'}"
145,NEGATIVE,ChuDanielle,put Kyrie and i on #TheCircle @netflix,['TheCircle'],set()
146,NEGATIVE,zenaaraison,"if alyssa isn’t getting blocked from the  circle next week, i promise you… we WILL have a problem circle. or can you block alyssa and carol at the same time ? 🫣#TheCircle #TheCircleNetflix","['TheCircle', 'TheCircleNetflix']","{'playerf', 'playerfour'}"
147,POSITIVE,AdoreMy_Essence,Yess! I’m so happy Nikki Glaser mentioned that Carol’s texts seemed like a mom writing a text message. 😂 good job John. #TheCircleNetflix #TheCircle,"['TheCircleNetflix', 'TheCircle']",set()
148,POSITIVE,AdoreMy_Essence,Alyssa is an influencer! I’m happy that the cast didn’t read too much into the Spice Girls’ cryptic message about their still being catfish amongst them. #TheCircle #TheCircleNetflix,"['TheCircle', 'TheCircleNetflix']","{'playerf', 'playereight'}"
149,NEGATIVE,Elimare,Exactly how soundproofed are those apartments in #thecircle with all the screaming they do?,['thecircle'],set()
150,NEGATIVE,KENNECTED,"I am living for Frank, Carissa and ""Momma Carol""  @CircleNetflix 

""Paul"" was a target from jump.  ""He"" did not do his research!

#TheCircleNetflix 
#TheCircle 
#TheCircleUS","['TheCircleNetflix', 'TheCircle', 'TheCircleUS']",set()
151,NEGATIVE,AdoreMy_Essence,Leave it up to #TheCircle to spice things up. I would have thought that the rating results would have came after the roast but no! 😂 #TheCircleNetflix,"['TheCircle', 'TheCircleNetflix']",{'playereight'}
152,POSITIVE,taynement,Emma has told Mel she loves her multiple times and she never says it back 😂#thecircle,['thecircle'],{'playereight'}
153,POSITIVE,AdoreMy_Essence,Yasss YU LING! Come through with the fun unique makeup looks! #TheCircleNetflix #TheCircle https://t.co/O2OYEr5Hzu,"['TheCircleNetflix', 'TheCircle']",{'playertwo'}
154,NEGATIVE,seungy8ncaptain,"Female music engineer of WINNER Concert #THECIRCLE insta story update

“The weekend gathering turns into #WINNER concert online review🥲 Until like this, people who worked so hard…”

#위너 @yginnercircle #강승윤 #김진우 #송민호 #이승훈 https://t.co/d9vPxTF01r","['THECIRCLE', 'WINNER', '위너', '강승윤', '김진우', '송민호', '이승훈']",set()
